UserName,FullName,Date,First Hashtags,Alt Hashtags,Tweet (Message Text),Retweets,Retweets (w/ Text),Likes,Likes (w/ Text),URL Path
@DawarAllama @DawarAllama @DawarAllama @DawarAllama @DawarAllama,Allama iqbal Dawar‏ @DawarAllama,Apr 30,"#WomenmysisterWomenmyMother,RanaSanaullah",#RanaSanaullah,"Strongly Condemn the disgraceful  words used by Rana Sanaullah for Women.
 Therefore we want to kick them. We believe in women empowerment, part of 11 point agenda of PTI. #WomenmysisterWomenmyMother
#RanaSanaullah pic.twitter.com/Lc6kHUePSU",4 4 4 4,"Retweet
    
      
    4
  
  
    
      
      Retweeted
    
      
    4",,"Like
    
      
    4
  
  
    
      
      
      Liked
    
      
    4",/DawarAllama/status/990983370497720321
@AlkhidmatOrg @AlkhidmatOrg @AlkhidmatOrg @AlkhidmatOrg @AlkhidmatOrg,Alkhidmat Foundation‏Verified account @AlkhidmatOrg,Apr 30,#Alkhidmat,,#Alkhidmat Foundation Pakistan Multan chapter arranged a free medical camp for the orphan children. As many as 195 orphan children registered with Orphan Care Program were examined on the occasion. A number of specialist doctors participated in the camp. pic.twitter.com/Q5gSnxuyHi,9 9 17 17,"Retweet
    
      
    9
  
  
    
      
      Retweeted
    
      
    9",,"Like
    
      
    17
  
  
    
      
      
      Liked
    
      
    17",/AlkhidmatOrg/status/990929074217504769
@HARAL786 @HARAL786 @HARAL786 @HARAL786 @HARAL786 @AEO_Shahg @KhalidAmiri01,Pak & Army ZINDABAD!‏ @HARAL786,Apr 28,,,Save ur daughters & women ! When a man becomes animal he don’t respect the women & relation ! Bullet in head is needed to Rapist ! @KPKUpdates @PeshawarCCPO @kpk_police @ChitralPolice @SalahuddinKhanM @IGPpunjab @ICT_Police @pid_gov @GovtOfPunjab,2 2 9 9,"Retweet
    
      
    2
  
  
    
      
      Retweeted
    
      
    2",,"Like
    
      
    9
  
  
    
      
      
      Liked
    
      
    9",/HARAL786/status/990442021914628096
@AlkhidmatOrg @AlkhidmatOrg @AlkhidmatOrg @AlkhidmatOrg @AlkhidmatOrg,Alkhidmat Foundation‏Verified account @AlkhidmatOrg,Apr 28,,,"Alkhidmat Foundation Pakistan is going to organize ""Annual Charity Dinner for Street Children"" at Lahore Pearl Continental Hotel on May 18th.The event is aimed at highlighting the contributions of AKFP for rehabilitation of the children through Alkhidmat Child Protection Center. pic.twitter.com/mQpqYCn6PC",1 28 28 50 50,"Retweet
    
      
    28
  
  
    
      
      Retweeted
    
      
    28",,"Like
    
      
    50
  
  
    
      
      
      Liked
    
      
    50",/AlkhidmatOrg/status/990200380570198016
@AsadKharal @AsadKharal @AsadKharal @AsadKharal @AsadKharal,Asad Kharal‏Verified account @AsadKharal,Apr 26,,,"First ever conviction in Child Pornography Scam just went today into pocket of FIA Cyber Crime Circle Lahore regarding an international scam due to effective prosecution and investigation.
2) Sadat Amin was arrested from Sargodha on the complaint of Norweign Embassy 1/4",5 30 30 98 98,"Retweet
    
      
    30
  
  
    
      
      Retweeted
    
      
    30",,"Like
    
      
    98
  
  
    
      
      
      Liked
    
      
    98",/AsadKharal/status/989581089147506688
@AlkhidmatOrg @AlkhidmatOrg @AlkhidmatOrg @AlkhidmatOrg @AlkhidmatOrg,Alkhidmat Foundation‏Verified account @AlkhidmatOrg,Apr 26,,,"Alkhidmat Foundation Pakistan celebrated Orphan Solidarity Day in collaboration with Turkish NGO IHH at Islamabad. A large number of 600 orphan children and their families participated in the event. Rao Muhammad Zafar, President AKFP Punjab was also present on the occasion. pic.twitter.com/ZcnhWnIZL0",9 9 22 22,"Retweet
    
      
    9
  
  
    
      
      Retweeted
    
      
    9",,"Like
    
      
    22
  
  
    
      
      
      Liked
    
      
    22",/AlkhidmatOrg/status/989472001243918336
@MonaAlamm @MonaAlamm @MonaAlamm @MonaAlamm @MonaAlamm,Mona Alam‏ @MonaAlamm,Apr 25,"#India,AsaramVerdict,AsaramConvicted",#AsaramVerdict,"#India : Guru Asaram, owner of 400 aashram & 10 thousand crore property, is sentenced to lifetime imprisonment under proven rape charges
#AsaramVerdict #AsaramConvicted",19 20 20 62 62,"Retweet
    
      
    20
  
  
    
      
      Retweeted
    
      
    20",,"Like
    
      
    62
  
  
    
      
      
      Liked
    
      
    62",/MonaAlamm/status/989355855563849728
@bulbulehind @bulbulehind @bulbulehind @bulbulehind @bulbulehind @marvisirmed,Tayyaba Rana‏ @bulbulehind,3h3 hours ago,,,"She is biased and selective. We the ""real"" women of pakistan are the ""real"" force. Ask her was  she agitated when IK, Fawad ch & amir liaqat hurl  junk on women??",,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/bulbulehind/status/991392134786834432
@rajaahsanr @rajaahsanr @rajaahsanr @rajaahsanr @rajaahsanr @AnsarAAbbasi,Ahsan Riaz‏ @rajaahsanr,4h4 hours ago,,,It should be highlighted even more to show the real face of these type of politicians. Lakh lanat on all who use derogatory remarks against women of any background.,,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/rajaahsanr/status/991379832641552384
@Suhail_Shahzad @Suhail_Shahzad @Suhail_Shahzad @Suhail_Shahzad @Suhail_Shahzad @Fereeha @CMShehbaz,Sohail Shahzad‏ @Suhail_Shahzad,4h4 hours ago,,,"Great, so let's start with Amir Liaqat, fawad chaudhary, even IK when he said he knows how women come to assembly on special quota, ask them and then ask apology from Rana as well, show a little courage.",1 1,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1",/Suhail_Shahzad/status/991372967249670144
@MianHar22261255 @MianHar22261255 @MianHar22261255 @MianHar22261255 @MianHar22261255 @Sadia__A,Mian Haris‏ @MianHar22261255,5h5 hours ago,,,"Yes tell me why does your leader nasty Khan make the young girls dance in the public meetings Jalsas, and sits his wife Peerny in Hijab??? why does she adopt the dual policy for the water girls and his wife women??@MaryamNSharif @sheikhsafina @RaziDada @SakiaMMSS @Bintanveer4387",,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/MianHar22261255/status/991360134348763139
