UserName,FullName,Date,Hashtags,Tweet,Likes,RTs
,,Jan 29,"#JusticeForAsmaRani,JusticeForZainab,JusticeForNaqib,JusticeForMashal,JusticeForIntezar,JusticeForThousands,Pakistanhttps://www.express.pk/story/1072346/1/","#JusticeForAsmaRani
#JusticeForZainab 
#JusticeForNaqib
#JusticeForMashal
#JusticeForIntezar
#JusticeForThousands pending cases ...
And this unhinged demagogue Chief Justice goes looking for a former ambassador ?
#Pakistanhttps://www.express.pk/story/1072346/1/ …",,
,,Jan 29,"#JusticeForAsmaRani,JusticeForZainab,JusticeForNaqib,justiceforhumanity","#JusticeForAsmaRani  #JusticeForZainab
#JusticeForNaqib
#justiceforhumanity
How long will we blame the family, politician, military, school, culture & etc?
In order to end this, we really need to practice human rights ourselves, which is the most compulsary right in Islam.pic.twitter.com/QjiVqJ8ZAE",,
,,Jan 28,"What's,JusticeForAsmaRani,JusticeForZainab,JusticeforNaqib","What's going on in pakistan??  Brutally killing, fake encounters sexual abusement n rapes______#ButNoJustice
#JusticeForAsmaRani #JusticeForZainab #JusticeforNaqib",,
,,Jan 27,"I,JusticeForZainab","I am really suprised how the whole nation got busy in accusing @imshahidmasood,totally ignoring the real issue which was #JusticeForZainab and 13 other girls....can't we see how they are trying to divert the attention from the core issue?",,
,,Jan 27,"""A,SexEducation,JusticeForZainab,ZainabMurderCase","""A public discussion about sex education was avoided. In lieu of a proper policy debate, we heard calls for public hangings by legislators as if that would solve the endemic issue at hand."" - @Razarumi 
https://dailytimes.com.pk/190192/zainabs-murder-fodder-opportunist-political-elites-media/ …
#SexEducation #JusticeForZainab #ZainabMurderCase",,
,,Jan 27,"Clarification:,PMAbbasi,Kasur,NawazGroup,PMLN,ZainabMurder,JusticeForZainab","Clarification: I don't mean that the Govt of #PMAbbasi is involved in #Kasur pedophile ring coverup. It is not. It is the #NawazGroup within #PMLN and its Media Cell.
#ZainabMurder
#JusticeForZainab https://twitter.com/Office_AQPk/status/957341313615187972 …",,
,,Jan 27,"Dr.,PMLN,Kasur,ZainabMurder,JusticeForZainab","Dr. Shahid is a non-issue, except for #PMLN government, which is using him as an excuse for #Kasur pedophile ring coverup and silencing the parents of Zainab.
#ZainabMurder
#JusticeForZainab https://twitter.com/MoeedNj/status/957241739642900482 …",,
,,Jan 27,"In,JusticeForZainab,ZainabmurderCase","In next General Elections, I will blindly vote for the party which promises to bring these child abusers, right on their knees and make them regret the day they were born and hang them publicly. 
#JusticeForZainab
#ZainabmurderCase",,
,,Jan 27,"#DunyaVideos:,ZainabMurderCase,JusticeForZainab,DunyaNewspic.twitter.com/klJUoX3xdA","#DunyaVideos: After the report of State Bank of Pakistan has released, this is proved that the allegations imposed by Dr Shahid Masood are completely baseless and nullified, Punjab govt spokesperson tells @AajKamranKhan 
#ZainabMurderCase #JusticeForZainab #DunyaNewspic.twitter.com/klJUoX3xdA",,
,,Jan 27,"Do,BanShahidMasood,WeSupportDrShahid,JusticeForZainab,ZainabMurderCase","Do you support Dr @Shahidmasooddr or want to ban him.
#BanShahidMasood
#WeSupportDrShahid
#JusticeForZainab 
#ZainabMurderCase",,
