UserName,FullName,Date,First Hashtags,Alt Hashtags,Tweet,Retweets,Retweets (w/ Text),Likes,Likes (w/ Text),URL Path
@aaulla @aaulla @aaulla @aaulla @aaulla,FM‏ @aaulla,19-Feb,#justiceforzainab,,This picture makes me cry every time I see it. Imagine the family’s pain when we feel this anguish. The joy and absolute happiness in her face. The justice of this world will fall to the size of an atom against Allahs justice.. and that gives me peace.  #justiceforzainab pic.twitter.com/svXKHiKnx5,1 6 6 16 16,"Retweet
    
      
    6
  
  
    
      
      Retweeted
    
      
    6",,"Like
    
      
    16
  
  
    
      
      
      Liked
    
      
    16",/aaulla/status/965759174092128258
@aqsasarwar @aqsasarwar @aqsasarwar @aqsasarwar @aqsasarwar,Aqsa Sarwar Hijazi‏ @aqsasarwar,17-Feb,"#JusticeForZainab,ZainabMurderCase",#ZainabMurderCase,"Justice has prevailed. Speedy trial is much appreciated. Thank you Judiciary!
#JusticeForZainab #ZainabMurderCase",3 3 9 9,"Retweet
    
      
    3
  
  
    
      
      Retweeted
    
      
    3",,"Like
    
      
    9
  
  
    
      
      
      Liked
    
      
    9",/aqsasarwar/status/964820531857035264
@RimshaRaees @RimshaRaees @RimshaRaees @RimshaRaees @RimshaRaees,❤RiMsHa ❤||AfRiDiAn||‏ @RimshaRaees,17-Apr,"#JusticeForAsifa,JusticeForZainab,JusticeForRabia",#JusticeForZainab,"Yesterday we raised our voice  #JusticeForAsifa
#JusticeForZainab
Today we raise our voice 
#JusticeForRabia
Tomorrow we will  ?
(Allah na kare) 
Just we raise our voice & nothing happened with these criminals
I'm scared 
Ya Allah hum sub ku apne hifazat m rakhna",1 20 20 23 23,"Retweet
    
      
    20
  
  
    
      
      Retweeted
    
      
    20",,"Like
    
      
    23
  
  
    
      
      
      Liked
    
      
    23",/RimshaRaees/status/986220490653126657
@YaRabbMyAllah @YaRabbMyAllah @YaRabbMyAllah @YaRabbMyAllah @YaRabbMyAllah,AllahFirst! India 🇮🇳 🇲🇦 🇵🇰 🇳🇿‏ @YaRabbMyAllah,1-Mar,#justiceforzainab,,"In the name of Allah.
As salaam alaikum brothers & sisters around the globe. Today it is Friday. big day for us true believers of Allah. I ask all of u to remember our little princess sister in ur prayers! Also give away charity in her innocent name!
#justiceforzainab",2 6 6 14 14,"Retweet
    
      
    6
  
  
    
      
      Retweeted
    
      
    6",,"Like
    
      
    14
  
  
    
      
      
      Liked
    
      
    14",/YaRabbMyAllah/status/969481606825201664
@itxduaayy @itxduaayy @itxduaayy @itxduaayy @itxduaayy,~Düãâ~ { çåñdîë } ❤‏ @itxduaayy,20-Feb,#JusticeForZainab,,"At last #JusticeForZainab got it I think us murderer ke sth or bura hona chaiy tha...plzz enough is enough kya ho gya hmari society ko is that what Islam teaches u? Is that what our holy Prophet(SAW) teachs u? Kya in logon ko hisaab ni dena Allah ke smne.
Plz stop this rubbish",5 5 29 29,"Retweet
    
      
    5
  
  
    
      
      Retweeted
    
      
    5",,"Like
    
      
    29
  
  
    
      
      
      Liked
    
      
    29",/itxduaayy/status/965938480760217600
@saniyaziz @saniyaziz @saniyaziz @saniyaziz @saniyaziz,Saniya Abdul-Aziz‏ @saniyaziz,17-Feb,#JusticeForZainab,,"Ali has been sentenced to death for the kidnapping, rape and murder of Zainab. No better punishment for child abusers. #JusticeForZainab",1 2 2 24 24,"Retweet
    
      
    2
  
  
    
      
      Retweeted
    
      
    2",,"Like
    
      
    24
  
  
    
      
      
      Liked
    
      
    24",/saniyaziz/status/964998671334035456
@humaharoonkirma @humaharoonkirma @humaharoonkirma @humaharoonkirma @humaharoonkirma,huma kirmani‏ @humaharoonkirma,16-Mar,#JusticeforZainab,,"5 Year old innocent Girl Raped in Saudiarabia , 
within 5 Minutes Rapist/Criminal  Shot Dead by Saudi police. The great Example of justice.. #JusticeforZainab yet not execute pic.twitter.com/tEmF73U8mO",5 9 9 13 13,"Retweet
    
      
    9
  
  
    
      
      Retweeted
    
      
    9",,"Like
    
      
    13
  
  
    
      
      
      Liked
    
      
    13",/humaharoonkirma/status/974660580492693504
@shahshahzon @shahshahzon @shahshahzon @shahshahzon @shahshahzon,Zuneera Shah‏ @shahshahzon,20-Apr,"#Pakistan,justiceforzainab,meeshashafi,AliZafar",#justiceforzainab,"#Pakistan can only recognize its sexual assault victims when they are young, their bodies mutilated, and found in the trash. Everyone else is just seeking attention because, clearly, if you lived to tell the tale, it has to be fabricated. #justiceforzainab #meeshashafi #AliZafar",2 54 54 69 69,"Retweet
    
      
    54
  
  
    
      
      Retweeted
    
      
    54",,"Like
    
      
    69
  
  
    
      
      
      Liked
    
      
    69",/shahshahzon/status/987236803357892608
@harnisha_soma @harnisha_soma @harnisha_soma @harnisha_soma @harnisha_soma @omar_quraishi,Harnisha Soma  🔬‏ @harnisha_soma omar r quraishiVerified account @omar_quraishi,18-Feb,#JusticeforZainab,,"This is the cannibal.  
#JusticeforZainab is only successful when this cannibal is no where seen on roads!  https://twitter.com/omar_quraishi/status/964777337031151621 … Towards the end of his 4-day trial, Imran Ali confessed to raping & killing Zainab -- at which point his lawyer recused himself from the case saying he couldn't defend him - he was given a state-appointed lawyer then…",1 3 3 4 4,"Retweet
    
      
    3
  
  
    
      
      Retweeted
    
      
    3",,"Like
    
      
    4
  
  
    
      
      
      Liked
    
      
    4",/harnisha_soma/status/965226264578555905
@ZeeSaying @ZeeSaying @ZeeSaying @ZeeSaying @ZeeSaying,Zeeshan Asif‏ @ZeeSaying,19-Feb,"#ZainabMurderCase,JusticeForZainab",#JusticeForZainab,Check the headline... #ZainabMurderCase #JusticeForZainab pic.twitter.com/5y4D9bXsly,2 2 13 13,"Retweet
    
      
    2
  
  
    
      
      Retweeted
    
      
    2",,"Like
    
      
    13
  
  
    
      
      
      Liked
    
      
    13",/ZeeSaying/status/965509817736495104
