,head,topic_rep
227,"Bloodbath at PSX: benchmark index sheds 1,900 points",0.2781159579753876
228,US lifts laptop restriction for flights from Abu Dhabi,0.05822517350316048
229,View from the Courtroom: Davis book brings to light misuse of Qisas and Diyat law,0.0
230,SA captain du Plessis to miss first Test,0.0
231,Ex-Chelsea captain Terry joins Aston Villa,0.0
232,"Murray, Nadal, Venus ease through at Wimbledon",0.0
233,PCB chief invites Shashank Manohar to Lahore,0.0
234,Russia gets seal of approval to host 2018 World Cup,0.011828453280031681
235,Japan PM seeks to regain public’s trust after Tokyo poll setback,0.0787530466914177
236,Sri Lanka eyes elephant menace at stadium,0.0
237,Wimbledon ramps up security after attacks,0.09453269839286804
238,Qatar stock exchange drops as Arab ultimatum deadline nears,0.0
239,Foreign firms sent home $1.9bn in July-May,0.9883552193641663
240,Collection by excise dept increases 21pc,0.8656018972396851
241,"Total signs major Iran gas deal, defying US pressure",0.3951663076877594
242,China opens up $10tr bond market in liberalisation step,0.7467104196548462
243,India set to propose new rules for rating agencies,0.4613921642303467
244,Britain misses out as global manufacturing surges,0.8104137182235718
245,Macron seeks to cut number of French MPs by a third,0.0
246,"Modi didn't create Hindu majoritarianism, he only stoked the simmering embers",0.020965220406651497
247,Ghulam Khan border reopening delayed,0.2545422315597534
248,Panic sweeps the trade floor,0.41451337933540344
249,China-India border standoff gets shriller,0.0
250,Business of private diagnostic centres on the decline in KP,0.0
251,Putin delivering on call-in show promises,0.03024868667125702
252,The social and cultural attitudes of medieval times have to be changed:  Zia Mohyeddin,0.0
253,Drone kills four IS men before US senators visit South Waziristan,0.0
254,Teachers protest written assessment,0.011933280155062675
255,Footprints: the final abode,0.0
256,NCHR reasons against execution warrants for ‘juvenile offender’,0.0
257,MPA Achakzai named in 2009 kidnapping FIR,0.022613506764173508
258,Dar’s trusted aide appointed FBR chief,0.37778958678245544
259,Panama Papers verdict may push country into crisis: Bizenjo,0.0
260,Gutter language can’t get Dar off the hook: Imran,0.0
261,"Rabbani to meet CMs for linkage between Senate, provincial assemblies",0.016956321895122528
262,Indian troops have killed 13 in AJK since January,0.03751399368047714
263,PPP leaders say Sharif deserves what JIT is putting him through,0.0
264,Tobacco growers plan protest against lower prices of crop,0.716092586517334
265,NA body decides to reduce Haj quota for private tour operators,0.05925697088241577
266,Opposition threatens to launch protest drive against repeal of NAO,0.0
267,"CM suspends DIG prisons, warning more heads could roll after inquiry report",0.0
268,"Karachi to be made smart city, says mayor",0.12419616430997849
269,Action against terrorists useless if corruption persists: PSP,0.0
270,Impediments to farming make Tharis’ joy short-lived,0.3497195839881897
271,Once upon a time Poland sent the US a birthday card — with five million signatures,0.0
272,Parking fee imposed in various commercial areas,0.06817387789487839
273,Jhangvi’s son seeks removal of name from fourth schedule,0.029649270698428154
274,Plea in SC for Raymond Davis’s extradition,0.0
275,Iran's Khamenei urges formation of policy on oppression of Muslims in Kashmir,0.0
276,The beauty of the 'Singing Monk' Lake near Swat will blow you away,0.01288226991891861
277,Pakistani student receives the Queen’s Young Leaders Award in the UK,0.0
278,"Hope I can justify SRK's talent in Jab Harry Met Sejal, says director Imtiaz Ali",0.09366873651742935
279,Senate committee approves Child Protection Bill 2017,0.0
280,India has a right to defend itself against terrorism: Israeli official,0.0
281,Challenges for the digital media agency ,0.08117509633302689
282,"Study finds 1,317 knocked-out genes in DNA samples from Pakistanis",0.013174428604543209
283,2 members of Panamagate JIT head to Doha to record former Qatari PM's statement,0.0
284,Indian PM's tea stall to become tourist magnet,0.0
285,Women will identify with Lipstick Under my Burkha: Ratna Pathak Shah,0.0
286,"Russia, China agree joint approach to N Korea, slam US over missile shield",0.0
287,"Rain, flash floods claim 43 lives across country: NDMA report",0.43197834491729736
288,Modi begins first ever Israel visit by an Indian PM,0.09025996923446655
289,Shikarpur armed clash death toll rises to 15,0.0
290,Pakistan High Commission seeks release of Hindu family arrested in India,0.0
291,Gen Bajwa urges improvement in functioning of Sindh police,0.0
292,Farmers protest against canal water theft,0.16520480811595917
293,Sarfraz appointed Test captain at honorary reception for Pakistan team,0.0
294,Iran to establish temporary consulates in KSA during Haj,0.0
295,Benchmark index gains 730 points,0.0
296,Criticism doesn’t faze me: Sarish Khan on Chain Aye Na trailer reviews,0.0
297,"Canada to apologise, pay former Gitmo prisoner Omar Khadr $8m",0.0
298,Pakistan’s anxiety,0.04970211908221245
299,Footprints: the final abode,0.0
300,Brother turns out to be ‘killer’ of minor sister,0.0
301,Sammi teaches us that saying no is an important step towards freedom,0.01895737461745739
302,‘Pakistan to lead Asia in adopting 5G internet technology’,0.4482918679714203
303,Imran fails to submit response to ECP  in contempt of court case,0.0
304,"Intercepting phone calls is legal, Senate body told",0.07926236093044281
305,"Ten killed, dozens hurt in Bangladesh garment factory blast",0.250393807888031
306,Hussain Nawaz appears before Panama Papers JIT for sixth time,0.0
307,Indian Oil plans to buy North American sour crude for the first time,0.3971301317214966
308,Gold smuggling on the horizon for India as stock sees little change after tax reforms,0.5575355291366577
309,US drone strike kills 4 IS militants,0.0
310,Qatar looks to increase natural gas production by 30pc,0.3995290994644165
311,"Indian forces kill 3 'militants', injure 35 civilians in held Kashmir",0.0
312,PML-N’s attack on JIT,0.0
313,"These green smoothies are more than just a fad, they're a weight-loss miracle",0.19387711584568024
314,Worst-ever dengue outbreak kills 225 in Sri Lanka,0.0
315,North Korea fires ballistic missile capable of 'reaching Alaska',0.0
316,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.0
317,NA body approves amended child protection bill,0.02953283302485943
318,"Seven people killed, 27 injured in road accident near Miani forest",0.0
319,Another monsoon spell starts in upper parts of Pakistan,0.0
320,CM Punjab objects to summons on Maryam,0.0
321,"Nawaz won’t be a part of next assembly, claims Rasheed",0.0
322,Faisalabad’s burns centre hardly seems a priority,0.14735236763954163
323,Tahirul Qadri sees no harm to Nawaz,0.0
324,Lal Masjid operation anniversary not to be observed,0.0
325,"Decline in street crime recorded during Ramazan in Karachi, official data shows",0.33921802043914795
326,Siraj to contest next election for NA seat from Dir,0.013523247092962265
327,"Under what law was cricket team rewarded, PM Secretariat asked",0.08611464500427246
328,‘Lack of data on minerals in Pakistan a challenge to sector’s growth’,0.7380597591400146
329,Chairlift victims’ families compensated,0.0
330,"JIT proceedings at FJA make I-8, H-8 a no-go area",0.0
331,Unregistered Afghans asked to leave Mohmand,0.0
332,KP chief minister orders rapid bus project’s execution by Aug 12,0.3646560311317444
333,Contractors threaten to stop work on uplift schemes in Khyber,0.11985501646995544
334,Catalonia to declare immediate independence if ‘yes’ wins referendum,0.0
335,PTV to probe airing of derogatory content,0.0
336,Survivor of Mosul blast wins top journalism prize,0.07208669185638428
337,McCain calls for support of Pakistan to eliminate militancy in Afghanistan,0.0
338,Austria threatens to stop migrant influx from Italy by force,0.010718077421188354
339,"40 years of Zia and the far-reaching repercussions of the 1977 military coup
",0.0
340,SC moved against LHC ruling on education standards,0.02471793256700039
341,Bhasha dam project progress discussed,0.5011487007141113
342,"PPP vows to defend democratic set-up, but not PML-N govt",0.0
343,Panama Papers case changed course of country’s history: Imran,0.28220537304878235
344,Chinese experts to visit CPEC Special Economic Zone sites,0.577399492263794
345,Outage at Engro LNG terminal disrupts gas supply to Punjab,0.855132520198822
346,FTA with Turkey at an impasse,0.6896197199821472
347,Refund payments to start on 10th,0.8989523649215698
348,Fertiliser sales resume after subsidy assurance,0.640192985534668
349,‘No let-up in correspondent banking decline’,0.6001316905021667
350,Qatar to boost gas production,0.561800479888916
351,"France unveils debt-cutting, pro-business reform plan",0.48429980874061584
352,Moderate trading on cotton market,0.7845039963722229
353,Indonesia hopes for additional $10bn inflows,0.6078047752380371
354,Electric fan exports up,0.7517037391662598
355,Gold rises,0.1700754463672638
356,Volkswagen returns to Iran after 17 years,0.42165040969848633
357,"Saudi soldier killed, three wounded  in explosion",0.0
358,IS fights fiercely in shrinking  Iraqi and Syrian strongholds,0.0
359,Misbah’s will be a hard act to follow: Sarfraz,0.0
360,"Maryam Nawaz takes issue with scrutiny of Sharif family's business accounts
",0.0
361,South Africa back Elgar to bring gutsy captaincy to Lord’s,0.0
362,China to launch 5G pilot project this year,0.2090391218662262
363,ARY Group's global transmissions resume after disruption due to technical issue,0.04527744650840759
364,"Big B, Aamir Khan and Alia Bhatt among nominees at the Indian Film Festival of Melbourne",0.0
365,18-month-old diagnosed with polio in Chaman,0.0
366,Daewoo launches its own ride-hailing app,0.33241894841194153
367,Zardari holds 'martial mindset' responsible for Pakistan's woes,0.0
368,PM grants Rs20m for Pakistan to host Blind Cricket World Cup 2018,0.0
369,Kelly Clarkson shuts down hater for calling her 'fat',0.0
370,Waqar Younis called out for 'sexist' remark regarding Women's World Cup,0.0
371,"Flying start for Federer, Djokovic at Wimbledon",0.0
372,Finance minister terms rupee's sudden plunge 'artificial',0.36993250250816345
373,Ramiz Raja asks ICC to set aside two-month window solely for Test matches,0.07238096743822098
374,"Pakistan, India expanding nuclear arsenals as global stockpiles decrease: report",0.357008159160614
375,Punjab Nahi Jaungi's trailer is out and the love triangle has us hooked,0.0
376,Zahid Nasrullah Khan appointed Pakistan's ambassador in Kabul,0.0
377,"8 people, including MPA's brother, injured in Quetta gun attack",0.0
378,Legal notice served to ICT police officer who saluted Maryam Nawaz,0.050072651356458664
379,"Anti-corruption body chairman to be appointed by provincial assembly, says Murad",0.026385627686977386
380,Quetta court grants bail to journalist arrested by FIA over 'anti-state' social media posts,0.0
381,Political noise reverses intraday gains from rupee devaluation,0.11182472854852676
382,COAS attends successful 'training launch' of short-range Nasr missile,0.0862567350268364
383,How a Hindu temple was renovated by a Muslim and a Sufi shrine revamped by a Sikh in Pakistan,0.0
384,Indian troop withdrawal 'precondition' for peace: China,0.03491750359535217
385,Pakistan’s women cricketers face formidable Australia today,0.0
386,"Continue previous pay deal for 12 months, suggests Clarke",0.028267286717891693
